Ref_Date,GEO,INS,RAN,STA,Value
2016/2017,Canada,Laurentian University,Rank below assistant professor,Average (dollars),100750
2016/2017,Canada,Laurentian University,Rank below assistant professor,Median (dollars),96800
2016/2017,Canada,Laurentian University,All ranks combined (including deans),Total teaching staff,372
2016/2017,Canada,Laurentian University,All ranks combined (including deans),Average (dollars),139425
2016/2017,Canada,Laurentian University,All ranks combined (including deans),Median (dollars),142300
2016/2017,Canada,Laurentian University,Male,Total teaching staff,225
2016/2017,Canada,Laurentian University,Male,Average (dollars),144850
2016/2017,Canada,Laurentian University,Male,Median (dollars),148050
2016/2017,Canada,Laurentian University,Female,Total teaching staff,147
2016/2017,Canada,Laurentian University,Female,Average (dollars),131175
2016/2017,Canada,Laurentian University,Female,Median (dollars),132600
2016/2017,Canada,McMaster University - Including medical dental,Full professor,Total teaching staff,369
2016/2017,Canada,McMaster University - Including medical dental,Full professor,Average (dollars),186100
2016/2017,Canada,McMaster University - Including medical dental,Full professor,Median (dollars),179950
2016/2017,Canada,McMaster University - Including medical dental,With senior administrative duties,Total teaching staff,48
2016/2017,Canada,McMaster University - Including medical dental,With senior administrative duties,Average (dollars),196725
2016/2017,Canada,McMaster University - Including medical dental,With senior administrative duties,Median (dollars),192050
2016/2017,Canada,McMaster University - Including medical dental,Without senior administrative duties,Total teaching staff,321
2016/2017,Canada,McMaster University - Including medical dental,Without senior administrative duties,Average (dollars),184500
2016/2017,Canada,McMaster University - Including medical dental,Without senior administrative duties,Median (dollars),177750
2016/2017,Canada,McMaster University - Including medical dental,Associate professor,Total teaching staff,285
2016/2017,Canada,McMaster University - Including medical dental,Associate professor,Average (dollars),151675
2016/2017,Canada,McMaster University - Including medical dental,Associate professor,Median (dollars),151625
2016/2017,Canada,McMaster University - Including medical dental,With senior administrative duties,Total teaching staff,21
2016/2017,Canada,McMaster University - Including medical dental,With senior administrative duties,Average (dollars),170000
2016/2017,Canada,McMaster University - Including medical dental,With senior administrative duties,Median (dollars),176725
2016/2017,Canada,McMaster University - Including medical dental,Without senior administrative duties,Total teaching staff,264
2016/2017,Canada,McMaster University - Including medical dental,Without senior administrative duties,Average (dollars),150150
2016/2017,Canada,McMaster University - Including medical dental,Without senior administrative duties,Median (dollars),150750
2016/2017,Canada,McMaster University - Including medical dental,Assistant professor,Total teaching staff,210
2016/2017,Canada,McMaster University - Including medical dental,Assistant professor,Average (dollars),116050
2016/2017,Canada,McMaster University - Including medical dental,Assistant professor,Median (dollars),113000
2016/2017,Canada,McMaster University - Including medical dental,Rank below assistant professor,Total teaching staff,15
2016/2017,Canada,McMaster University - Including medical dental,Rank below assistant professor,Average (dollars),110525
2016/2017,Canada,McMaster University - Including medical dental,Rank below assistant professor,Median (dollars),102950
2016/2017,Canada,McMaster University - Including medical dental,All ranks combined (including deans),Total teaching staff,894
2016/2017,Canada,McMaster University - Including medical dental,All ranks combined (including deans),Average (dollars),158050
2016/2017,Canada,McMaster University - Including medical dental,All ranks combined (including deans),Median (dollars),161600
2016/2017,Canada,McMaster University - Including medical dental,Male,Total teaching staff,561
2016/2017,Canada,McMaster University - Including medical dental,Male,Average (dollars),164475
2016/2017,Canada,McMaster University - Including medical dental,Male,Median (dollars),168975
2016/2017,Canada,McMaster University - Including medical dental,Female,Total teaching staff,333
2016/2017,Canada,McMaster University - Including medical dental,Female,Average (dollars),147150
2016/2017,Canada,McMaster University - Including medical dental,Female,Median (dollars),147975
2016/2017,Canada,McMaster University - Excluding medical dental,Full professor,Total teaching staff,297
2016/2017,Canada,McMaster University - Excluding medical dental,Full professor,Average (dollars),185575
2016/2017,Canada,McMaster University - Excluding medical dental,Full professor,Median (dollars),180125
2016/2017,Canada,McMaster University - Excluding medical dental,With senior administrative duties,Total teaching staff,45
2016/2017,Canada,McMaster University - Excluding medical dental,With senior administrative duties,Average (dollars),194575
2016/2017,Canada,McMaster University - Excluding medical dental,With senior administrative duties,Median (dollars),191000
2016/2017,Canada,McMaster University - Excluding medical dental,Without senior administrative duties,Total teaching staff,255
2016/2017,Canada,McMaster University - Excluding medical dental,Without senior administrative duties,Average (dollars),184025
2016/2017,Canada,McMaster University - Excluding medical dental,Without senior administrative duties,Median (dollars),177750
2016/2017,Canada,McMaster University - Excluding medical dental,Associate professor,Total teaching staff,222
2016/2017,Canada,McMaster University - Excluding medical dental,Associate professor,Average (dollars),151125
2016/2017,Canada,McMaster University - Excluding medical dental,Associate professor,Median (dollars),150750
2016/2017,Canada,McMaster University - Excluding medical dental,With senior administrative duties,Total teaching staff,21
2016/2017,Canada,McMaster University - Excluding medical dental,With senior administrative duties,Average (dollars),170000
2016/2017,Canada,McMaster University - Excluding medical dental,With senior administrative duties,Median (dollars),176725
2016/2017,Canada,McMaster University - Excluding medical dental,Without senior administrative duties,Total teaching staff,198
2016/2017,Canada,McMaster University - Excluding medical dental,Without senior administrative duties,Average (dollars),149025
2016/2017,Canada,McMaster University - Excluding medical dental,Without senior administrative duties,Median (dollars),149575
2016/2017,Canada,McMaster University - Excluding medical dental,Assistant professor,Total teaching staff,141
2016/2017,Canada,McMaster University - Excluding medical dental,Assistant professor,Average (dollars),114500
2016/2017,Canada,McMaster University - Excluding medical dental,Assistant professor,Median (dollars),110750
2016/2017,Canada,McMaster University - Excluding medical dental,Rank below assistant professor,Total teaching staff,15
2016/2017,Canada,McMaster University - Excluding medical dental,Rank below assistant professor,Average (dollars),110525
2016/2017,Canada,McMaster University - Excluding medical dental,Rank below assistant professor,Median (dollars),102950
2016/2017,Canada,McMaster University - Excluding medical dental,All ranks combined (including deans),Total teaching staff,687
2016/2017,Canada,McMaster University - Excluding medical dental,All ranks combined (including deans),Average (dollars),158950
2016/2017,Canada,McMaster University - Excluding medical dental,All ranks combined (including deans),Median (dollars),163075
2016/2017,Canada,McMaster University - Excluding medical dental,Male,Total teaching staff,468
2016/2017,Canada,McMaster University - Excluding medical dental,Male,Average (dollars),165575
2016/2017,Canada,McMaster University - Excluding medical dental,Male,Median (dollars),170250
2016/2017,Canada,McMaster University - Excluding medical dental,Female,Total teaching staff,219
2016/2017,Canada,McMaster University - Excluding medical dental,Female,Average (dollars),144800
2016/2017,Canada,McMaster University - Excluding medical dental,Female,Median (dollars),143325
2016/2017,Canada,Nipissing University,Full professor,Total teaching staff,24
2016/2017,Canada,Nipissing University,Full professor,Average (dollars),139225
2016/2017,Canada,Nipissing University,Full professor,Median (dollars),137125
2016/2017,Canada,Nipissing University,With senior administrative duties,Total teaching staff,6
2016/2017,Canada,Nipissing University,With senior administrative duties,Average (dollars),x
2016/2017,Canada,Nipissing University,With senior administrative duties,Median (dollars),x
2016/2017,Canada,Nipissing University,Without senior administrative duties,Total teaching staff,18
2016/2017,Canada,Nipissing University,Without senior administrative duties,Average (dollars),140825
2016/2017,Canada,Nipissing University,Without senior administrative duties,Median (dollars),138950
2016/2017,Canada,Nipissing University,Associate professor,Total teaching staff,81
2016/2017,Canada,Nipissing University,Associate professor,Average (dollars),118475
2016/2017,Canada,Nipissing University,Associate professor,Median (dollars),118900
2016/2017,Canada,Nipissing University,With senior administrative duties,Total teaching staff,15
2016/2017,Canada,Nipissing University,With senior administrative duties,Average (dollars),122700
2016/2017,Canada,Nipissing University,With senior administrative duties,Median (dollars),121875
2016/2017,Canada,Nipissing University,Without senior administrative duties,Total teaching staff,66
2016/2017,Canada,Nipissing University,Without senior administrative duties,Average (dollars),117600
2016/2017,Canada,Nipissing University,Without senior administrative duties,Median (dollars),118900
2016/2017,Canada,Nipissing University,Assistant professor,Total teaching staff,54
2016/2017,Canada,Nipissing University,Assistant professor,Average (dollars),98650
2016/2017,Canada,Nipissing University,Assistant professor,Median (dollars),101450
2016/2017,Canada,Nipissing University,Rank below assistant professor,Total teaching staff,x
2016/2017,Canada,Nipissing University,Rank below assistant professor,Average (dollars),x
2016/2017,Canada,Nipissing University,Rank below assistant professor,Median (dollars),x
2016/2017,Canada,Nipissing University,All ranks combined (including deans),Total teaching staff,165
2016/2017,Canada,Nipissing University,All ranks combined (including deans),Average (dollars),115650
2016/2017,Canada,Nipissing University,All ranks combined (including deans),Median (dollars),112950
2016/2017,Canada,Nipissing University,Male,Total teaching staff,96
2016/2017,Canada,Nipissing University,Male,Average (dollars),117175
2016/2017,Canada,Nipissing University,Male,Median (dollars),115625
2016/2017,Canada,Nipissing University,Female,Total teaching staff,72
2016/2017,Canada,Nipissing University,Female,Average (dollars),113625
2016/2017,Canada,Nipissing University,Female,Median (dollars),112950
2016/2017,Canada,University of Ottawa - Including medical dental,Full professor,Total teaching staff,480
2016/2017,Canada,University of Ottawa - Including medical dental,Full professor,Average (dollars),172800
2016/2017,Canada,University of Ottawa - Including medical dental,Full professor,Median (dollars),177500
2016/2017,Canada,University of Ottawa - Including medical dental,With senior administrative duties,Total teaching staff,33
2016/2017,Canada,University of Ottawa - Including medical dental,With senior administrative duties,Average (dollars),194725
2016/2017,Canada,University of Ottawa - Including medical dental,With senior administrative duties,Median (dollars),187200
2016/2017,Canada,University of Ottawa - Including medical dental,Without senior administrative duties,Total teaching staff,447
2016/2017,Canada,University of Ottawa - Including medical dental,Without senior administrative duties,Average (dollars),171175
2016/2017,Canada,University of Ottawa - Including medical dental,Without senior administrative duties,Median (dollars),176650
2016/2017,Canada,University of Ottawa - Including medical dental,Associate professor,Total teaching staff,492
2016/2017,Canada,University of Ottawa - Including medical dental,Associate professor,Average (dollars),139675
2016/2017,Canada,University of Ottawa - Including medical dental,Associate professor,Median (dollars),140350
2016/2017,Canada,University of Ottawa - Including medical dental,With senior administrative duties,Total teaching staff,15
2016/2017,Canada,University of Ottawa - Including medical dental,With senior administrative duties,Average (dollars),150450
2016/2017,Canada,University of Ottawa - Including medical dental,With senior administrative duties,Median (dollars),151075
2016/2017,Canada,University of Ottawa - Including medical dental,Without senior administrative duties,Total teaching staff,474
2016/2017,Canada,University of Ottawa - Including medical dental,Without senior administrative duties,Average (dollars),139325
2016/2017,Canada,University of Ottawa - Including medical dental,Without senior administrative duties,Median (dollars),140050
2016/2017,Canada,University of Ottawa - Including medical dental,Assistant professor,Total teaching staff,273
2016/2017,Canada,University of Ottawa - Including medical dental,Assistant professor,Average (dollars),111950
2016/2017,Canada,University of Ottawa - Including medical dental,Assistant professor,Median (dollars),109700
2016/2017,Canada,University of Ottawa - Including medical dental,Rank below assistant professor,Total teaching staff,6
2016/2017,Canada,University of Ottawa - Including medical dental,Rank below assistant professor,Average (dollars),76475
2016/2017,Canada,University of Ottawa - Including medical dental,Rank below assistant professor,Median (dollars),x
2016/2017,Canada,University of Ottawa - Including medical dental,Other teaching staff,Total teaching staff,12
2016/2017,Canada,University of Ottawa - Including medical dental,Other teaching staff,Average (dollars),96250
2016/2017,Canada,University of Ottawa - Including medical dental,Other teaching staff,Median (dollars),99150
2016/2017,Canada,University of Ottawa - Including medical dental,All ranks combined (including deans),Total teaching staff,1272
2016/2017,Canada,University of Ottawa - Including medical dental,All ranks combined (including deans),Average (dollars),146300
2016/2017,Canada,University of Ottawa - Including medical dental,All ranks combined (including deans),Median (dollars),147575
2016/2017,Canada,University of Ottawa - Including medical dental,Male,Total teaching staff,762
2016/2017,Canada,University of Ottawa - Including medical dental,Male,Average (dollars),150625
2016/2017,Canada,University of Ottawa - Including medical dental,Male,Median (dollars),150950
2016/2017,Canada,University of Ottawa - Including medical dental,Female,Total teaching staff,510
2016/2017,Canada,University of Ottawa - Including medical dental,Female,Average (dollars),139825
2016/2017,Canada,University of Ottawa - Including medical dental,Female,Median (dollars),140550
2016/2017,Canada,University of Ottawa - Excluding medical dental,Full professor,Total teaching staff,423
2016/2017,Canada,University of Ottawa - Excluding medical dental,Full professor,Average (dollars),173950
2016/2017,Canada,University of Ottawa - Excluding medical dental,Full professor,Median (dollars),176525
2016/2017,Canada,University of Ottawa - Excluding medical dental,With senior administrative duties,Total teaching staff,24
2016/2017,Canada,University of Ottawa - Excluding medical dental,With senior administrative duties,Average (dollars),182850
2016/2017,Canada,University of Ottawa - Excluding medical dental,With senior administrative duties,Median (dollars),185650
2016/2017,Canada,University of Ottawa - Excluding medical dental,Without senior administrative duties,Total teaching staff,399
2016/2017,Canada,University of Ottawa - Excluding medical dental,Without senior administrative duties,Average (dollars),173350
2016/2017,Canada,University of Ottawa - Excluding medical dental,Without senior administrative duties,Median (dollars),176150
2016/2017,Canada,University of Ottawa - Excluding medical dental,Associate professor,Total teaching staff,456
2016/2017,Canada,University of Ottawa - Excluding medical dental,Associate professor,Average (dollars),139775
2016/2017,Canada,University of Ottawa - Excluding medical dental,Associate professor,Median (dollars),139900
2016/2017,Canada,University of Ottawa - Excluding medical dental,With senior administrative duties,Total teaching staff,12
2016/2017,Canada,University of Ottawa - Excluding medical dental,With senior administrative duties,Average (dollars),154600
2016/2017,Canada,University of Ottawa - Excluding medical dental,With senior administrative duties,Median (dollars),148700
2016/2017,Canada,University of Ottawa - Excluding medical dental,Without senior administrative duties,Total teaching staff,441
2016/2017,Canada,University of Ottawa - Excluding medical dental,Without senior administrative duties,Average (dollars),139350
2016/2017,Canada,University of Ottawa - Excluding medical dental,Without senior administrative duties,Median (dollars),139550
2016/2017,Canada,University of Ottawa - Excluding medical dental,Assistant professor,Total teaching staff,243
2016/2017,Canada,University of Ottawa - Excluding medical dental,Assistant professor,Average (dollars),112650
2016/2017,Canada,University of Ottawa - Excluding medical dental,Assistant professor,Median (dollars),110925
2016/2017,Canada,University of Ottawa - Excluding medical dental,Rank below assistant professor,Total teaching staff,6
2016/2017,Canada,University of Ottawa - Excluding medical dental,Rank below assistant professor,Average (dollars),76475
2016/2017,Canada,University of Ottawa - Excluding medical dental,Rank below assistant professor,Median (dollars),x
2016/2017,Canada,University of Ottawa - Excluding medical dental,Other teaching staff,Total teaching staff,9
2016/2017,Canada,University of Ottawa - Excluding medical dental,Other teaching staff,Average (dollars),90900
2016/2017,Canada,University of Ottawa - Excluding medical dental,Other teaching staff,Median (dollars),99150
2016/2017,Canada,University of Ottawa - Excluding medical dental,All ranks combined (including deans),Total teaching staff,1146
2016/2017,Canada,University of Ottawa - Excluding medical dental,All ranks combined (including deans),Average (dollars),146550
2016/2017,Canada,University of Ottawa - Excluding medical dental,All ranks combined (including deans),Median (dollars),147650
2016/2017,Canada,University of Ottawa - Excluding medical dental,Male,Total teaching staff,672
2016/2017,Canada,University of Ottawa - Excluding medical dental,Male,Average (dollars),150775
2016/2017,Canada,University of Ottawa - Excluding medical dental,Male,Median (dollars),150950
2016/2017,Canada,University of Ottawa - Excluding medical dental,Female,Total teaching staff,474
2016/2017,Canada,University of Ottawa - Excluding medical dental,Female,Average (dollars),140625
2016/2017,Canada,University of Ottawa - Excluding medical dental,Female,Median (dollars),141075
2016/2017,Canada,Queen's University - Including medical dental,Full professor,Total teaching staff,375
2016/2017,Canada,Queen's University - Including medical dental,Full professor,Average (dollars),169425
2016/2017,Canada,Queen's University - Including medical dental,Full professor,Median (dollars),164850
2016/2017,Canada,Queen's University - Including medical dental,With senior administrative duties,Total teaching staff,54
2016/2017,Canada,Queen's University - Including medical dental,With senior administrative duties,Average (dollars),182675
2016/2017,Canada,Queen's University - Including medical dental,With senior administrative duties,Median (dollars),172500
2016/2017,Canada,Queen's University - Including medical dental,Without senior administrative duties,Total teaching staff,321
2016/2017,Canada,Queen's University - Including medical dental,Without senior administrative duties,Average (dollars),167150
2016/2017,Canada,Queen's University - Including medical dental,Without senior administrative duties,Median (dollars),163525
2016/2017,Canada,Queen's University - Including medical dental,Associate professor,Total teaching staff,273
2016/2017,Canada,Queen's University - Including medical dental,Associate professor,Average (dollars),146525
2016/2017,Canada,Queen's University - Including medical dental,Associate professor,Median (dollars),142825
2016/2017,Canada,Queen's University - Including medical dental,With senior administrative duties,Total teaching staff,18
2016/2017,Canada,Queen's University - Including medical dental,With senior administrative duties,Average (dollars),169900
2016/2017,Canada,Queen's University - Including medical dental,With senior administrative duties,Median (dollars),160150
2016/2017,Canada,Queen's University - Including medical dental,Without senior administrative duties,Total teaching staff,255
2016/2017,Canada,Queen's University - Including medical dental,Without senior administrative duties,Average (dollars),144850
2016/2017,Canada,Queen's University - Including medical dental,Without senior administrative duties,Median (dollars),142425
2016/2017,Canada,Queen's University - Including medical dental,Assistant professor,Total teaching staff,96
2016/2017,Canada,Queen's University - Including medical dental,Assistant professor,Average (dollars),131900
2016/2017,Canada,Queen's University - Including medical dental,Assistant professor,Median (dollars),124275
2016/2017,Canada,Queen's University - Including medical dental,Rank below assistant professor,Total teaching staff,6
2016/2017,Canada,Queen's University - Including medical dental,Rank below assistant professor,Average (dollars),x
2016/2017,Canada,Queen's University - Including medical dental,Rank below assistant professor,Median (dollars),x
2016/2017,Canada,Queen's University - Including medical dental,All ranks combined (including deans),Total teaching staff,759
2016/2017,Canada,Queen's University - Including medical dental,All ranks combined (including deans),Average (dollars),157025
2016/2017,Canada,Queen's University - Including medical dental,All ranks combined (including deans),Median (dollars),155000
2016/2017,Canada,Queen's University - Including medical dental,Male,Total teaching staff,486
2016/2017,Canada,Queen's University - Including medical dental,Male,Average (dollars),161525
2016/2017,Canada,Queen's University - Including medical dental,Male,Median (dollars),159375
2016/2017,Canada,Queen's University - Including medical dental,Female,Total teaching staff,273
2016/2017,Canada,Queen's University - Including medical dental,Female,Average (dollars),149025
2016/2017,Canada,Queen's University - Including medical dental,Female,Median (dollars),147925
2016/2017,Canada,Queen's University - Excluding medical dental,Full professor,Total teaching staff,321
2016/2017,Canada,Queen's University - Excluding medical dental,Full professor,Average (dollars),168925
2016/2017,Canada,Queen's University - Excluding medical dental,Full professor,Median (dollars),164750
2016/2017,Canada,Queen's University - Excluding medical dental,With senior administrative duties,Total teaching staff,48
2016/2017,Canada,Queen's University - Excluding medical dental,With senior administrative duties,Average (dollars),179800
2016/2017,Canada,Queen's University - Excluding medical dental,With senior administrative duties,Median (dollars),171025
2016/2017,Canada,Queen's University - Excluding medical dental,Without senior administrative duties,Total teaching staff,276
2016/2017,Canada,Queen's University - Excluding medical dental,Without senior administrative duties,Average (dollars),167025
2016/2017,Canada,Queen's University - Excluding medical dental,Without senior administrative duties,Median (dollars),163625
2016/2017,Canada,Queen's University - Excluding medical dental,Associate professor,Total teaching staff,249
2016/2017,Canada,Queen's University - Excluding medical dental,Associate professor,Average (dollars),146875
2016/2017,Canada,Queen's University - Excluding medical dental,Associate professor,Median (dollars),142825
2016/2017,Canada,Queen's University - Excluding medical dental,With senior administrative duties,Total teaching staff,18
2016/2017,Canada,Queen's University - Excluding medical dental,With senior administrative duties,Average (dollars),169900
2016/2017,Canada,Queen's University - Excluding medical dental,With senior administrative duties,Median (dollars),160150
2016/2017,Canada,Queen's University - Excluding medical dental,Without senior administrative duties,Total teaching staff,231
2016/2017,Canada,Queen's University - Excluding medical dental,Without senior administrative duties,Average (dollars),145075
2016/2017,Canada,Queen's University - Excluding medical dental,Without senior administrative duties,Median (dollars),142400
2016/2017,Canada,Queen's University - Excluding medical dental,Assistant professor,Total teaching staff,90
2016/2017,Canada,Queen's University - Excluding medical dental,Assistant professor,Average (dollars),132125
2016/2017,Canada,Queen's University - Excluding medical dental,Assistant professor,Median (dollars),123350
2016/2017,Canada,Queen's University - Excluding medical dental,Rank below assistant professor,Total teaching staff,6
2016/2017,Canada,Queen's University - Excluding medical dental,Rank below assistant professor,Average (dollars),x
2016/2017,Canada,Queen's University - Excluding medical dental,Rank below assistant professor,Median (dollars),x
2016/2017,Canada,Queen's University - Excluding medical dental,All ranks combined (including deans),Total teaching staff,675
2016/2017,Canada,Queen's University - Excluding medical dental,All ranks combined (including deans),Average (dollars),156475
2016/2017,Canada,Queen's University - Excluding medical dental,All ranks combined (including deans),Median (dollars),154425
2016/2017,Canada,Queen's University - Excluding medical dental,Male,Total teaching staff,423
2016/2017,Canada,Queen's University - Excluding medical dental,Male,Average (dollars),161300
2016/2017,Canada,Queen's University - Excluding medical dental,Male,Median (dollars),159350
2016/2017,Canada,Queen's University - Excluding medical dental,Female,Total teaching staff,252
2016/2017,Canada,Queen's University - Excluding medical dental,Female,Average (dollars),148400
2016/2017,Canada,Queen's University - Excluding medical dental,Female,Median (dollars),147775
2016/2017,Canada,Ryerson University,Full professor,Total teaching staff,258
2016/2017,Canada,Ryerson University,Full professor,Average (dollars),180625
2016/2017,Canada,Ryerson University,Full professor,Median (dollars),179125
2016/2017,Canada,Ryerson University,With senior administrative duties,Total teaching staff,33
2016/2017,Canada,Ryerson University,With senior administrative duties,Average (dollars),191225
2016/2017,Canada,Ryerson University,With senior administrative duties,Median (dollars),191300
2016/2017,Canada,Ryerson University,Without senior administrative duties,Total teaching staff,222
2016/2017,Canada,Ryerson University,Without senior administrative duties,Average (dollars),179025
2016/2017,Canada,Ryerson University,Without senior administrative duties,Median (dollars),177400
2016/2017,Canada,Ryerson University,Associate professor,Total teaching staff,420
2016/2017,Canada,Ryerson University,Associate professor,Average (dollars),148325
2016/2017,Canada,Ryerson University,Associate professor,Median (dollars),148525
2016/2017,Canada,Ryerson University,With senior administrative duties,Total teaching staff,39
2016/2017,Canada,Ryerson University,With senior administrative duties,Average (dollars),173050
2016/2017,Canada,Ryerson University,With senior administrative duties,Median (dollars),172325
2016/2017,Canada,Ryerson University,Without senior administrative duties,Total teaching staff,384
2016/2017,Canada,Ryerson University,Without senior administrative duties,Average (dollars),145800
2016/2017,Canada,Ryerson University,Without senior administrative duties,Median (dollars),145650
2016/2017,Canada,Ryerson University,Assistant professor,Total teaching staff,114
2016/2017,Canada,Ryerson University,Assistant professor,Average (dollars),107650
2016/2017,Canada,Ryerson University,Assistant professor,Median (dollars),104575
2016/2017,Canada,Ryerson University,Rank below assistant professor,Total teaching staff,60
2016/2017,Canada,Ryerson University,Rank below assistant professor,Average (dollars),92075
2016/2017,Canada,Ryerson University,Rank below assistant professor,Median (dollars),90000
2016/2017,Canada,Ryerson University,Other teaching staff,Total teaching staff,189
2016/2017,Canada,Ryerson University,Other teaching staff,Average (dollars),72900
2016/2017,Canada,Ryerson University,Other teaching staff,Median (dollars),70450
2016/2017,Canada,Ryerson University,All ranks combined (including deans),Total teaching staff,1047
2016/2017,Canada,Ryerson University,All ranks combined (including deans),Average (dollars),135500
2016/2017,Canada,Ryerson University,All ranks combined (including deans),Median (dollars),141925
2016/2017,Canada,Ryerson University,Male,Total teaching staff,567
2016/2017,Canada,Ryerson University,Male,Average (dollars),141375
2016/2017,Canada,Ryerson University,Male,Median (dollars),151175
2016/2017,Canada,Ryerson University,Female,Total teaching staff,480
2016/2017,Canada,Ryerson University,Female,Average (dollars),128550
2016/2017,Canada,Ryerson University,Female,Median (dollars),134725
2016/2017,Canada,University of Toronto - Including medical dental,Full professor,Total teaching staff,966
2016/2017,Canada,University of Toronto - Including medical dental,Full professor,Average (dollars),203125
2016/2017,Canada,University of Toronto - Including medical dental,Full professor,Median (dollars),191650
2016/2017,Canada,University of Toronto - Including medical dental,With senior administrative duties,Total teaching staff,105
2016/2017,Canada,University of Toronto - Including medical dental,With senior administrative duties,Average (dollars),219075
2016/2017,Canada,University of Toronto - Including medical dental,With senior administrative duties,Median (dollars),207900
2016/2017,Canada,University of Toronto - Including medical dental,Without senior administrative duties,Total teaching staff,861
2016/2017,Canada,University of Toronto - Including medical dental,Without senior administrative duties,Average (dollars),201150
2016/2017,Canada,University of Toronto - Including medical dental,Without senior administrative duties,Median (dollars),189225
2016/2017,Canada,University of Toronto - Including medical dental,Associate professor,Total teaching staff,723
2016/2017,Canada,University of Toronto - Including medical dental,Associate professor,Average (dollars),158125
2016/2017,Canada,University of Toronto - Including medical dental,Associate professor,Median (dollars),155450
2016/2017,Canada,University of Toronto - Including medical dental,With senior administrative duties,Total teaching staff,51
2016/2017,Canada,University of Toronto - Including medical dental,With senior administrative duties,Average (dollars),178625
2016/2017,Canada,University of Toronto - Including medical dental,With senior administrative duties,Median (dollars),174650
2016/2017,Canada,University of Toronto - Including medical dental,Without senior administrative duties,Total teaching staff,672
2016/2017,Canada,University of Toronto - Including medical dental,Without senior administrative duties,Average (dollars),156550
2016/2017,Canada,University of Toronto - Including medical dental,Without senior administrative duties,Median (dollars),153400
2016/2017,Canada,University of Toronto - Including medical dental,Assistant professor,Total teaching staff,495
2016/2017,Canada,University of Toronto - Including medical dental,Assistant professor,Average (dollars),121550
2016/2017,Canada,University of Toronto - Including medical dental,Assistant professor,Median (dollars),111400
2016/2017,Canada,University of Toronto - Including medical dental,Rank below assistant professor,Total teaching staff,432
2016/2017,Canada,University of Toronto - Including medical dental,Rank below assistant professor,Average (dollars),120800
2016/2017,Canada,University of Toronto - Including medical dental,Rank below assistant professor,Median (dollars),119825
2016/2017,Canada,University of Toronto - Including medical dental,All ranks combined (including deans),Total teaching staff,2643
2016/2017,Canada,University of Toronto - Including medical dental,All ranks combined (including deans),Average (dollars),162325
2016/2017,Canada,University of Toronto - Including medical dental,All ranks combined (including deans),Median (dollars),159025
2016/2017,Canada,University of Toronto - Including medical dental,Male,Total teaching staff,1608
2016/2017,Canada,University of Toronto - Including medical dental,Male,Average (dollars),170875
2016/2017,Canada,University of Toronto - Including medical dental,Male,Median (dollars),168425
2016/2017,Canada,University of Toronto - Including medical dental,Female,Total teaching staff,1035
2016/2017,Canada,University of Toronto - Including medical dental,Female,Average (dollars),149050
2016/2017,Canada,University of Toronto - Including medical dental,Female,Median (dollars),145150
2016/2017,Canada,University of Toronto - Excluding medical dental,Full professor,Total teaching staff,867
2016/2017,Canada,University of Toronto - Excluding medical dental,Full professor,Average (dollars),203400
2016/2017,Canada,University of Toronto - Excluding medical dental,Full professor,Median (dollars),191750
2016/2017,Canada,University of Toronto - Excluding medical dental,With senior administrative duties,Total teaching staff,96
2016/2017,Canada,University of Toronto - Excluding medical dental,With senior administrative duties,Average (dollars),218100
2016/2017,Canada,University of Toronto - Excluding medical dental,With senior administrative duties,Median (dollars),205525
2016/2017,Canada,University of Toronto - Excluding medical dental,Without senior administrative duties,Total teaching staff,774
2016/2017,Canada,University of Toronto - Excluding medical dental,Without senior administrative duties,Average (dollars),201575
2016/2017,Canada,University of Toronto - Excluding medical dental,Without senior administrative duties,Median (dollars),189300
2016/2017,Canada,University of Toronto - Excluding medical dental,Associate professor,Total teaching staff,660
2016/2017,Canada,University of Toronto - Excluding medical dental,Associate professor,Average (dollars),158300
2016/2017,Canada,University of Toronto - Excluding medical dental,Associate professor,Median (dollars),154050
2016/2017,Canada,University of Toronto - Excluding medical dental,With senior administrative duties,Total teaching staff,51
2016/2017,Canada,University of Toronto - Excluding medical dental,With senior administrative duties,Average (dollars),178625
2016/2017,Canada,University of Toronto - Excluding medical dental,With senior administrative duties,Median (dollars),174650
2016/2017,Canada,University of Toronto - Excluding medical dental,Without senior administrative duties,Total teaching staff,609
2016/2017,Canada,University of Toronto - Excluding medical dental,Without senior administrative duties,Average (dollars),156550
2016/2017,Canada,University of Toronto - Excluding medical dental,Without senior administrative duties,Median (dollars),152850
2016/2017,Canada,University of Toronto - Excluding medical dental,Assistant professor,Total teaching staff,462
2016/2017,Canada,University of Toronto - Excluding medical dental,Assistant professor,Average (dollars),121300
2016/2017,Canada,University of Toronto - Excluding medical dental,Assistant professor,Median (dollars),110700
2016/2017,Canada,University of Toronto - Excluding medical dental,Rank below assistant professor,Total teaching staff,417
2016/2017,Canada,University of Toronto - Excluding medical dental,Rank below assistant professor,Average (dollars),120750
2016/2017,Canada,University of Toronto - Excluding medical dental,Rank below assistant professor,Median (dollars),119825
2016/2017,Canada,University of Toronto - Excluding medical dental,All ranks combined (including deans),Total teaching staff,2430
2016/2017,Canada,University of Toronto - Excluding medical dental,All ranks combined (including deans),Average (dollars),161600
2016/2017,Canada,University of Toronto - Excluding medical dental,All ranks combined (including deans),Median (dollars),157475
